state_id,date_,new_cases,population
AL,2021-09-20,1920,4934193
AL,2021-09-21,3220,4934193
AL,2021-09-22,3018,4934193
AL,2021-09-23,3366,4934193
AL,2021-09-24,2569,4934193
AL,2021-09-25,2937,4934193
AL,2021-09-26,1633,4934193
AL,2021-09-27,1594,4934193
AL,2021-09-28,1984,4934193
AL,2021-09-29,2141,4934193
AL,2021-09-30,1702,4934193
AL,2021-10-01,1845,4934193
AL,2021-10-02,1480,4934193
AL,2021-10-03,892,4934193
AL,2021-10-04,736,4934193
AL,2021-10-05,1549,4934193
AL,2021-10-06,1272,4934193
AL,2021-10-07,1262,4934193
AL,2021-10-08,1049,4934193
AL,2021-10-09,919,4934193
AL,2021-10-10,653,4934193
AL,2021-10-11,467,4934193
AL,2021-10-12,886,4934193
AL,2021-10-13,1016,4934193
AL,2021-10-14,1050,4934193
AL,2021-10-15,1143,4934193
AL,2021-10-16,787,4934193
AL,2021-10-17,544,4934193
AL,2021-10-18,338,4934193
AL,2021-10-19,961,4934193
AL,2021-10-20,665,4934193
AL,2021-10-21,1065,4934193
AL,2021-10-22,1598,4934193
AL,2021-10-23,945,4934193
AL,2021-10-24,414,4934193
AL,2021-10-25,301,4934193
AL,2021-10-26,943,4934193
AL,2021-10-27,0,4934193
AL,2021-10-28,0,4934193
AL,2021-10-29,0,4934193
AL,2021-10-30,488,4934193
AL,2021-10-31,394,4934193
AL,2021-11-01,217,4934193
AL,2021-11-02,745,4934193
AL,2021-11-03,484,4934193
AL,2021-11-04,1089,4934193
AL,2021-11-05,575,4934193
AL,2021-11-06,583,4934193
AL,2021-11-07,292,4934193
AL,2021-11-08,223,4934193
AL,2021-11-09,995,4934193
AL,2021-11-10,178,4934193
AL,2021-11-11,686,4934193
AL,2021-11-12,722,4934193
AL,2021-11-13,600,4934193
AL,2021-11-14,259,4934193
AL,2021-11-15,258,4934193
AL,2021-11-16,542,4934193
AL,2021-11-17,496,4934193
AL,2021-11-18,492,4934193
AL,2021-11-19,473,4934193
AL,2021-11-20,680,4934193
AL,2021-11-21,272,4934193
AL,2021-11-22,253,4934193
AL,2021-11-23,619,4934193
AL,2021-11-24,416,4934193
AL,2021-11-25,398,4934193
AL,2021-11-26,0,4934193
AL,2021-11-27,357,4934193
AL,2021-11-28,157,4934193
AL,2021-11-29,176,4934193
AL,2021-11-30,477,4934193
AL,2021-12-01,536,4934193
AL,2021-12-02,767,4934193
AL,2021-12-03,595,4934193
AL,2021-12-04,478,4934193
AL,2021-12-05,361,4934193
AL,2021-12-06,281,4934193
AL,2021-12-07,630,4934193
AL,2021-12-08,687,4934193
AL,2021-12-09,549,4934193
AL,2021-12-10,592,4934193
AL,2021-12-11,713,4934193
AL,2021-12-12,330,4934193
AL,2021-12-13,294,4934193
AL,2021-12-14,1655,4934193
AL,2021-12-15,647,4934193
AL,2021-12-16,816,4934193
AL,2021-12-17,908,4934193
AL,2021-12-18,692,4934193
AL,2021-12-19,552,4934193
AL,2021-12-20,552,4934193
AL,2021-12-21,1254,4934193
AL,2021-12-22,1460,4934193
