States,Date,Req,vaccinated_pct,monthly_new_cases_per_100k, infection_rate,hospital_beds_per_100k,new_deaths_per_100K
CT,2021-Apr-01,1,21,797.8167209,1.01,17.42277475,5.938942604
CT,2021-May-01,1,39,228.2130172,0.8,11.70900532,3.968677285
CT,2021-Jun-01,1,54,56.60290794,1.08,3.715357458,1.210305839
CT,2021-Jul-01,1,61,140.254744,1.37,4.953809944,0.450346359
CT,2021-Aug-01,1,63,527.3837325,1.26,12.24379162,1.998411966
CT,2021-Sep-01,1,66,486.1770407,1.02,11.9904718,5.094543181
CT,2021-Oct-01,1,69,344.458671,1,8.500287518,3.827944048
CT,2021-Nov-01,1,71,537.8542854,1.26,12.24379162,3.996823932
CT,2021-Dec-01,1,72,2490.865709,1.31,39.1801332,6.276702373
CT,2022-Jan-01,1,75,5325.68345,1.28,58.31985343,24.00909024
CT,2022-Feb-01,1,77,646.7255176,0.74,27.6681544,12.89116451
DE,2021-Mar-01,1,0,728.4411118,1.08,0,13.83371671
DE,2021-Apr-01,1,17,969.6728578,1.07,0,6.664418267
DE,2021-May-01,1,33,374.4191354,0.83,0,3.635137237
DE,2021-Jun-01,1,43,88.95988626,1.02,0,3.332209133
DE,2021-Jul-01,1,50,167.9231451,1.33,0,0.908784309
DE,2021-Aug-01,1,53,852.7426101,1.33,0,4.745873614
DE,2021-Sep-01,1,55,1323.896786,1.07,0,7.472226542
DE,2021-Oct-01,1,58,1134.465746,0.97,0,13.83371671
DE,2021-Nov-01,1,60,825.2771287,1.16,0,8.784914988
DE,2021-Dec-01,1,62,2744.124709,1.34,0,10.90541171
DE,2022-Jan-01,1,64,6840.621447,1.31,0,21.20496721
DE,2022-Feb-01,1,66,769.2354297,0.71,0,17.97373411
FL,2021-Mar-01,0,0,676.7685702,1.06,19.01608766,11.72499247
FL,2021-Apr-01,0,16,801.0316171,1.06,18.08191609,7.91083829
FL,2021-May-01,0,30,397.8203818,0.87,17.27533869,7.350335347
FL,2021-Jun-01,0,39,224.2057343,1.24,10.73158075,5.030855687
FL,2021-Jul-01,0,46,1190.339645,1.39,49.29236048,5.477435268
