state_id,date,new_cases,vaccinated_ratio,hospital_beds,new_deaths,infection_rate,population,requirements
AL,2021-04-17,508,0.191,466,51,1.04,4934193,f
AL,2021-04-18,270,0.192,502,0,1.04,4934193,f
AL,2021-04-19,111,0.193,447,0,1.04,4934193,f
AL,2021-04-20,0,0.197,470,8,1.03,4934193,f
AL,2021-04-21,412,0.201,463,9,1.03,4934193,f
AL,2021-04-22,682,0.206,459,17,1.02,4934193,f
AL,2021-04-23,428,0.211,445,16,1.02,4934193,f
AL,2021-04-24,421,0.215,470,11,1.01,4934193,f
AL,2021-04-25,233,0.217,483,0,1,4934193,f
AL,2021-04-26,217,0.218,432,1,0.99,4934193,f
AL,2021-04-27,359,0.22,413,2,0.99,4934193,f
AL,2021-04-28,376,0.224,407,25,0.98,4934193,f
AL,2021-04-29,430,0.229,421,8,0.97,4934193,f
AL,2021-04-30,409,0.233,441,9,0.97,4934193,f
AL,2021-05-01,387,0.237,443,17,0.97,4934193,f
AL,2021-05-02,288,0.238,457,0,0.96,4934193,f
AL,2021-05-03,187,0.238,452,0,0.96,4934193,f
AL,2021-05-04,0,0.241,429,0,0.96,4934193,f
AL,2021-05-05,662,0.245,447,17,0.95,4934193,f
AL,2021-05-06,565,0.245,462,16,0.95,4934193,f
AL,2021-05-07,314,0.253,484,20,0.95,4934193,f
AL,2021-05-08,419,0.258,499,12,0.95,4934193,f
AL,2021-05-09,244,0.259,522,0,0.94,4934193,f
AL,2021-05-10,106,0.26,455,0,0.94,4934193,f
AL,2021-05-11,310,0.26,443,7,0.94,4934193,f
AL,2021-05-12,347,0.262,479,12,0.94,4934193,f
AL,2021-05-13,0,0.268,456,4,0.93,4934193,f
AL,2021-05-14,0,0.272,456,23,0.93,4934193,f
AL,2021-05-15,0,0.275,468,14,0.93,4934193,f
AL,2021-05-16,0,0.275,486,0,0.93,4934193,f
AL,2021-05-17,184,0.276,419,0,0.93,4934193,f
AL,2021-05-18,336,0.278,382,5,0.93,4934193,f
AL,2021-05-19,288,0.278,420,2,0.93,4934193,f
AL,2021-05-20,339,0.282,415,32,0.94,4934193,f
AL,2021-05-21,443,0.283,399,3,0.94,4934193,f
AL,2021-05-22,255,0.285,389,32,0.95,4934193,f
AL,2021-05-23,196,0.287,398,0,0.95,4934193,f
AL,2021-05-24,132,0.287,378,0,0.96,4934193,f
AL,2021-05-25,306,0.289,350,12,0.97,4934193,f
AL,2021-05-26,269,0.29,390,14,0.98,4934193,f
AL,2021-05-27,346,0.29,394,2,0.99,4934193,f
AL,2021-05-28,228,0.291,380,6,0.99,4934193,f
AL,2021-05-29,0,0.292,399,0,1,4934193,f
AL,2021-05-30,0,0.292,390,0,1.01,4934193,f
AL,2021-05-31,0,0.292,387,0,1.01,4934193,f
AL,2021-06-01,640,0.292,364,10,1.01,4934193,f
AL,2021-06-02,553,0.293,368,11,1,4934193,f
AL,2021-06-03,430,0.293,367,21,1,4934193,f
AL,2021-06-04,557,0.294,338,10,0.99,4934193,f
AL,2021-06-05,0,0.294,352,0,0.98,4934193,f
AL,2021-06-06,0,0.294,348,0,0.96,4934193,f
AL,2021-06-07,739,0.294,307,19,0.95,4934193,f
AL,2021-06-08,216,0.294,334,3,0.93,4934193,f
AL,2021-06-09,305,0.295,304,29,0.91,4934193,f
AL,2021-06-10,290,0.298,308,3,0.9,4934193,f
AL,2021-06-11,188,0.3,280,14,0.89,4934193,f
AL,2021-06-12,0,0.303,291,0,0.88,4934193,f
AL,2021-06-13,0,0.304,348,0,0.87,4934193,f
AL,2021-06-14,550,0.306,261,8,0.86,4934193,f
